Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,formatted_address
The Residences on E,South Boston,02127,34,0,34,30.0,0.0,30.0,4,0,4.0,Ownership,Private,,,"50 W Broadway, Boston, MA 02127, United States"
The Seville Boston Harbor,East Boston,02128,66,0,66,58.0,0.0,58.0,8,0,8.0,Ownership,Private,,,"250 Meridian St, Boston, MA 02128, United States"
The Stearns,Downtown,02111,140,140,0,1.0,1.0,0.0,139,139,0.0,Rental,Private,Y,Y,"10 Temple Pl, Boston, MA 02111, United States"
The Sudbury [Govt Center Garage Rental],Downtown,02114,368,368,0,305.0,305.0,0.0,63,63,0.0,Rental,Private,,,"50 Sudbury St, Boston, MA 02114, United States"
The Tremont,Mission Hill,02120,66,66,0,65.0,65.0,0.0,1,1,0.0,Rental,Private,,,"1480-1482 Tremont St, Boston, MA 02120, United States"
Theroch,Roxbury,02121,222,222,0,31.0,31.0,0.0,191,191,0.0,Rental,Private,,Y,"133 Columbia Rd, Boston, MA 02121, United States"
Thetford-Dyer Neighborhood Homes,Dorchester,02124,16,7,9,6.0,6.0,0.0,10,4,6.0,Ownership/Rental,Private,,,"Thetford Ave, Boston, MA 02124, USA"
Torre Unidad (2-49),South End,02118,201,201,0,0.0,0.0,0.0,201,201,0.0,Rental,Public,Y,,"80 W Dedham St, Boston, MA 02118, United States"
Townhouses at Glenwood,Hyde Park,02136,19,0,19,17.0,0.0,17.0,2,0,2.0,Rental,Private,?,,"400 Georgetowne Dr, Hyde Park, MA 02136, United States"
Townhouses at Neponset River,Hyde Park,02136,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,"29 Neponset Field Ln, Hyde Park, MA 02136, United States"
Treadmark,Dorchester,02124,83,51,32,28.0,0.0,28.0,55,51,4.0,Ownership/Rental,Private,,,"1971-1977 Dorchester Ave, Boston, MA 02124, United States"
Tremont Houses,Roxbury,02118,23,23,0,0.0,0.0,0.0,23,23,0.0,Rental,Private,,,"725 Tremont St, Boston, MA 02118, United States"
Trilogy Residential,Fenway,02215,534,534,0,475.0,475.0,0.0,59,59,0.0,Rental,Private,,,"Fenway Triangle Trilogy, 170 Brookline Ave, Boston, MA 02215, United States"
Trinity Neighborhood House,East Boston,02128,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,?,,"406 Meridian St, Boston, MA 02128, United States"
Trinity Terrace,Dorchester,02121,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,,,"Trinity Terrace, Boston, MA 02121, USA"
Trolley House Condos,South Boston,02127,25,0,25,23.0,0.0,23.0,2,0,2.0,Ownership,Private,,,"335 W 2nd St, Boston, MA 02127, United States"
Troy Boston,South End,02118,378,378,0,340.0,340.0,0.0,38,38,0.0,Rental,Private,,,"55 Traveler St, Boston, MA 02118, United States"
Trull/Ware Homes,Dorchester,02125,4,1,3,0.0,0.0,0.0,4,1,3.0,Ownership/Rental,Private,,,
Twenty at Luma,Roxbury,02119,20,0,20,0.0,0.0,0.0,20,0,20.0,Ownership,Private,,,
UE Apartments,Jamaica Plain,02130,82,82,0,0.0,0.0,0.0,82,82,0.0,Rental,Private,Y,,"101 S Huntington Ave, Boston, MA 02130, United States"
UE Dixwell Park,Jamaica Plain,02119,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,,"Dixwell St, Boston, MA 02119, USA"
Uhomes,Brighton,02134,20,0,20,8.0,0.0,8.0,12,0,12.0,Ownership,Private,,,"90 Antwerp St, Boston, MA 02135, United States"
Ulin House,Brighton,02135,242,242,0,0.0,0.0,0.0,242,242,0.0,Rental,Private,Y,Y,"Boston, MA 02135, United States"
Uphams Corner Market Residential and Elderhouse,Dorchester,02125,45,45,0,1.0,1.0,0.0,44,44,0.0,Rental,Private,Y,,"545 Columbia Rd, Dorchester, MA 02125, United States"
Uphams Corner/Red Hazel Apts,Dorchester,02125,36,36,0,0.0,0.0,0.0,36,36,0.0,Rental,Private,,Y,"530 Columbia Rd, Boston, MA 02125, United States"
Uphams West,Roxbury,02125,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,"Uphams Ct, Boston, MA 02125, USA"
Upton Street Lodging House,South End,02136,19,19,0,1.0,1.0,0.0,18,18,0.0,Rental,Private,,,"592 Tremont St, Boston, MA 02118, United States"
Upton Street Lodging House Units,South End,02118,19,19,0,1.0,1.0,0.0,18,18,0.0,Rental,Private,,,"592 Tremont St, Boston, MA 02118, United States"
Urbanica 691,Roxbury,02118,40,0,40,38.0,0.0,38.0,2,0,2.0,Ownership,Private,,,"142 Berkeley St, Boston, MA 02116, United States"
Urbanica Highland Park (E+),Roxbury,02119,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,,"74 Highland St, Boston, MA 02119, United States"
Uva Douglas Estates,Roxbury,02121,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,
Valenchuck (VUP),Dorchester,02122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,
Van Ness Terrace,Roxbury,02119,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,,"Van Ness St, Boston, MA 02215, USA"
Vet Step Up,Roxbury,02121,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,,"155 Neponset Ave, Boston, MA 02122, United States"
Veterans Studios at Brighton Marine,Brighton,02135,25,25,0,0.0,0.0,0.0,25,25,0.0,Rental,Private,,,"77 Warren St, Brighton, MA 02135, United States"
VFW Parkway Condos,West Roxbury,02132,15,0,15,14.0,0.0,14.0,1,0,1.0,Ownership,Private,,,"1555 VFW Pkwy, West Roxbury, MA 02132, United States"
Victoria Apartments,South End,02118,190,190,0,0.0,0.0,0.0,190,190,0.0,Rental,Private,,Y,"640 Tremont St, Boston, MA 02118, United States"
Victory Gardens Plaza,East Boston,02128,87,87,0,0.0,0.0,0.0,87,87,0.0,Rental,Private,Y,Y,"54 Orleans St # 1, East Boston, MA 02128, United States"
Victory House,South End,02118,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"566 Chester Square, Boston, MA 02118, United States"
Viet-AID,Dorchester,02122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"42 Charles St, Boston, MA 02122, United States"
Villa Michelangelo,North End,02113,71,71,0,0.0,0.0,0.0,71,71,0.0,Rental,Private,Y,,"1 Michelangelo St, Boston, MA 02113, United States"
Village At Cleary Square,Hyde Park,02136,59,0,59,53.0,0.0,53.0,6,0,6.0,Ownership,Private,,,"Stony Brook / Cleary Square, Boston, MA, USA"
Vines (VUP) CDFI,Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"The Schrafft Center, 529 Main St #201, Charlestown, MA 02129, United States"
Viridian,Fenway,02215,350,350,0,312.0,312.0,0.0,38,38,0.0,Rental,Private,,,"1282 Boylston St, Boston, MA 02215, United States"
VITA,Jamaica Plain,02130,126,0,126,107.0,0.0,107.0,19,0,19.0,Ownership,Private,,,"3531 Washington St Suite 103, Jamaica Plain, MA 02130, United States"
Viviendas Associates I,South End,02118,181,181,0,0.0,0.0,0.0,181,181,0.0,Rental,Private,,Y,"44 John Eliot Sq, Roxbury, MA 02119, United States"
Viviendas La Victoria II,South End,02118,190,190,0,0.0,0.0,0.0,190,190,0.0,Rental,Private,,,"H58H+JQP, La Joya 04406, Peru"
Wait Street,Mission Hill,02115,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Private,Y,Y,"Wait St, Boston, MA 02115, USA"
Walker Park Apartments,Roxbury,02130,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,,"161 S Huntington Ave, Jamaica Plain, MA 02130, United States"
Wallingford Housing,Brighton,02135,209,209,0,0.0,0.0,0.0,209,209,0.0,Rental,Private,Y,Y,"28 Wallingford Rd, Brighton, MA 02135, United States"
Walnut Avenue Apartments (SPO),Jamaica Plain,02130,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,,"230 Walnut St, Newtonville, MA 02460, United States"
Walnut Community Housing,Roxbury,02119,37,37,0,3.0,3.0,0.0,34,34,0.0,Rental,Private,Y,,"237 Walnut Ave, Boston, MA 02119, United States"
Walnut House/Rogerson,Jamaica Plain,02119,37,37,0,0.0,0.0,0.0,37,37,0.0,Rental,Private,Y,,
Walter Baker Lofts,Mattapan,02124,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,"1231 Adams St, Boston, MA 02124, United States"
Walter J. Martin Coop,South Boston,02127,34,34,0,0.0,0.0,0.0,34,34,0.0,Cooperative,Private,,,
Wardman Apts,Roxbury,02119,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,,Y,"158 Walnut Ave, Boston, MA 02119, United States"
Wareham Lofts,South End,02118,28,0,28,25.0,0.0,25.0,3,0,3.0,Ownership,Private,,,"90 Wareham St, Boston, MA 02118, United States"
Warren Avenue Apts,South End,02116,30,30,0,1.0,1.0,0.0,29,29,0.0,Rental,Private,,Y,"440 Tremont St UNIT 108, Boston, MA 02116, United States"
Warren Gardens Coop,Roxbury,02119,228,228,0,0.0,0.0,0.0,228,228,0.0,Cooperative,Private,,Y,"45 Walnut Ave, Roxbury, MA 02119, United States"
Warren Green Leasehold Condominiums,Charlestown,02129,17,0,17,15.0,0.0,15.0,2,0,2.0,Ownership,Private,,,"42 8th St, Charlestown, MA 02129, United States"
Warren St Nursing Home,Roxbury,02121,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"565 Warren St, Boston, MA 02121, United States"
Washington Grove,West Roxbury,02132,24,0,24,21.0,0.0,21.0,3,0,3.0,Ownership/Rental,Private,,,"Washington St, Boston, MA 02132, USA"
"Washington Heights I, II",Roxbury,02119,175,175,0,0.0,0.0,0.0,175,175,0.0,Rental,Private,,Y,"86 Crawford St, Dorchester, MA 02121, United States"
Washington Manor (2-44C),South End,02118,77,77,0,0.0,0.0,0.0,77,77,0.0,Rental,Public,Y,,"1701 Washington St, Boston, MA 02118, United States"
Washington Mews,Dorchester,02124,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,"Washington St, DORCHESTR CTR, MA 02124, USA"
Washington Street (2-35),Brighton,02135,82,82,0,0.0,0.0,0.0,82,82,0.0,Rental,Public,Y,,"235 Washington St, Boston, MA 02201, USA"
Washington-Beech (2-13),Roslindale,02131,206,206,0,0.0,0.0,0.0,206,206,0.0,Rental,Public/Private,,Y,"4560 Washington St, Roslindale, MA 02131, United States"
Waterford Place,South End,02118,40,40,0,14.0,14.0,0.0,26,26,0.0,Rental,Private,,,"180 Shawmut Ave, Boston, MA 02118, United States"
Watermark Seaport Apartments,South Boston Waterfront,02210,346,346,0,301.0,301.0,0.0,45,45,0.0,Rental,Private,,,"85 Seaport Blvd, Boston, MA 02210, United States"
Waterside Place,South Boston Waterfront,02210,236,236,0,231.0,231.0,0.0,5,5,0.0,Rental,Private,,,"505 Congress St, Boston, MA 02210, United States"
Waterstone at the Circle,Brighton,02135,92,92,0,80.0,80.0,0.0,12,12,0.0,Rental,Private,?,,"385 Chestnut Hill Ave, Boston, MA 02135, United States"
Waterview Apartments,South Boston,02127,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,Y,Y,"1350 Columbia Rd, Boston, MA 02127, United States"
Watson (VUP),Dorchester,02124,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"1 Deaconess Rd # W, Boston, MA 02215, United States"
Waverly Abby - Bridge Over Troubled Waters,Brighton,02134,28,28,0,0.0,0.0,0.0,28,28,0.0,Rental,Private,,,"47 West St, Boston, MA 02111, United States"
Waverly Homes II,Roxbury,02125,9,2,7,0.0,0.0,0.0,9,2,7.0,Ownership/Rental,Private,,,"9 Bronsdon St, Brighton, MA 02135, United States"
Wayland Street Homes,Roxbury,02125,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,"17 Pleasant St, Boston, MA 02125, United States"
Wayne Apartments,Roxbury,02121,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,,Y,"393 Centre St, Dorchester, MA 02122, United States"
Wayne at Bicknell,Dorchester,02121,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Private,,Y,
Wayne at Blue Hill,Mattapan,02126,48,48,0,0.0,0.0,0.0,48,48,0.0,Rental,Private,,Y,"Wayne St & Blue Hill Avenue, Boston, MA 02121, USA"
Wayne at Columbia,Dorchester,02121,83,83,0,0.0,0.0,0.0,83,83,0.0,Rental,Private,,Y,"173 Columbia Rd #173, Dorchester, MA 02121, United States"
Wayne at Franklin,Dorchester,02124,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Private,,Y,"1 Shandon Rd, Dorchester Center, MA 02124, United States"
Weld Park Apts,Roslindale,02131,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,Y,Y,
Wellington Hill Phase I,Dorchester,02126,23,9,14,0.0,0.0,0.0,23,9,14.0,Ownership/Rental,Private,,,"45 Wellington Hill St, Mattapan, MA 02126, United States"
Wellington Hill Phase II,Mattapan,02126,8,3,5,0.0,0.0,0.0,8,3,5.0,Ownership/Rental,Private,,,"Hummingbird Ln, Boston, MA 02126, United States"
Welsh (VUP),Brighton,02135,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"101 Arch St, Boston, MA 02110, United States"
West Broadway/D St (200-1),South Boston,02127,484,484,0,0.0,0.0,0.0,484,484,0.0,Rental,Public,,,"45 W Broadway, Boston, MA 02127, United States"
West Cottage St Condominiums,Roxbury,02125,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,"54 Pleasant St, Boston, MA 02125, United States"
West Fenway Elderly,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,Y,,"110 Peterborough St, Boston, MA 02215, United States"
West Newton Street (2-58),South End,02118,149,149,0,0.0,0.0,0.0,149,149,0.0,Rental,Public,,,"258 W Newton St, Boston, MA 02116, USA"
West Ninth Street (2-36),South Boston,02127,84,84,0,1.0,1.0,0.0,83,83,0.0,Rental,Public,Y,,"236 W 9th St, Boston, MA 02127, USA"
West Roxbury Residences,West Roxbury,02132,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,"1235 VFW Pkwy, West Roxbury, MA 02132, United States"
West Square,South Boston,02127,255,255,0,222.0,222.0,0.0,33,33,0.0,Rental,Private,,,"320 D St, Boston, MA 02127, United States"
Westland Avenue Apartments,Fenway,02115,96,96,0,35.0,35.0,0.0,61,61,0.0,Rental,Private,Y,Y,"66 Westland Ave # 205, Boston, MA 02115, United States"
Westminster 21 (Urban Edge),Roxbury,02119,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,,"1542 Columbus Ave, Roxbury, MA 02119, United States"
Westminster Court,Roxbury,02119,70,70,0,0.0,0.0,0.0,70,70,0.0,Rental,Private,,,"Westminster Ct, Boston, MA 02119, USA"
Whittier Street Apartments (2-11),Roxbury,02120,144,144,0,16.0,16.0,0.0,128,128,0.0,Rental,Public/Private,,,"1158 Tremont St, Boston, MA 02120, United States"
Whittier/Lyndhurst/Washington,Dorchester,02124,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,,
Wilder Gardens,Dorchester,02121,61,61,0,0.0,0.0,0.0,61,61,0.0,Rental,Private,,Y,"95 Humboldt Ave # A, Dorchester, MA 02121, United States"
Wilkes Passage Loft Condominium,South End,02118,155,0,155,135.0,0.0,135.0,20,0,20.0,Ownership,Private,,,"1313 Washington St, Boston, MA 02118, United States"
Williams (VUP),Roxbury,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Willowwood|Hildreth NHI,Dorchester,02124,8,4,4,0.0,0.0,0.0,8,4,4.0,Ownership/Rental,Private,,,"Willowwood St, Boston, MA 02124, USA"
Wilshire Apartments,Roxbury,02121,29,29,0,0.0,0.0,0.0,29,29,0.0,Rental,Private,,Y,"Cheney St, Boston, MA 02121, United States"
Winslow Court,Roxbury,02119,24,5,19,0.0,0.0,0.0,24,5,19.0,Ownership/Rental,Private,,,"Winslow St, Boston, MA 02119, USA"
Winston/Harwood (689-?),Dorchester,02124,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Public,,,
Wood (VUP),Dorchester,02124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,
Woodbourne Elderly Apts,Jamaica Plain,02130,76,76,0,1.0,1.0,0.0,75,75,0.0,Rental,Private,Y,Y,"6 Southbourne Rd #4208, Jamaica Plain, MA 02130, United States"
Woodbury Cunard Building,East Boston,02128,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,Y,,
Woodledge/Granfield,Roslindale,02131,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"Woodledge St, Boston, MA 02125, USA"
Woodward Park - North - Home Again,Roxbury,02125,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,,"284 Commonwealth Ave, Boston, MA 02115, United States"
Woodward Park II - HOME AGAIN,Roxbury,02125,11,0,11,0.0,0.0,0.0,11,0,11.0,Ownership,Private,,,"Woodward Park St, Boston, MA 02125, USA"
Worcester House,Back Bay,02116,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,
Worcester Square,South End,02118,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,,"Worcester Square, Boston, MA 02118, USA"
Wrentham St School,Mission Hill,02120,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"120 Taunton St, Wrentham, MA 02093, United States"
x & 404 West Second St,South Boston,02127,17,0,17,14.0,0.0,14.0,3,0,3.0,Ownership,Private,,,"404 W 2nd St, Boston, MA 02127, USA"
x & 50 Corbet (REMS Land),Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
x & x St George Street Condominium,South End,02118,29,0,29,15.0,0.0,15.0,14,0,14.0,Ownership,Private,,,"St George St, Boston, MA 02118, USA"
x -1740 Washington St,South End,02118,33,33,0,2.0,2.0,0.0,31,31,0.0,Rental,Private,,,"558 Washington St, Boston, MA 02111, United States"
x A Street,South Boston,02127,25,0,25,22.0,0.0,22.0,3,0,3.0,Ownership,Private,,,"39 A St, Boston, MA 02127, United States"
x A Street Front,South Boston Waterfront,02127,48,0,48,44.0,0.0,44.0,4,0,4.0,Ownership,Private,,,"39 A St, Boston, MA 02127, United States"
x Adams Street,Dorchester,02122,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"735 Adams St, Boston, MA 02122, United States"
x Albany Street,South End,02118,40,0,40,35.0,0.0,35.0,5,0,5.0,Ownership,Private,,,"725 Albany St, Boston, MA 02118, United States"
x Algonquin St,Dorchester,02124,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,,"15 Algonquin St, Boston, MA 02124, United States"
x Alpine Street,Roxbury,02119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"131 Dale St, Boston, MA 02119, United States"
x Alvah Kittredge Park,Roxbury,02119,4,2,2,3.0,1.0,2.0,1,1,0.0,Ownership/Rental,Private,,,"2P, Alvah Kittredge Park, Boston, MA 02119, United States"
x American Legion Highway (AOP),Roslindale,02131,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"Boston, MA 02136, United States"
x Amory Ave,Jamaica Plain,02119,39,39,0,0.0,0.0,0.0,39,39,0.0,Rental,Private,,,"125 Amory St, Boston, MA 02119, United States"
x Amory St,Jamaica Plain,02119,12,12,0,10.0,10.0,0.0,2,2,0.0,Rental,Private,,,"125 Amory St, Boston, MA 02119, United States"
x and 120-122 Mt. Pleasant Avenue,Roxbury,02119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"120 Mt Pleasant Ave, Boston, MA 02119, USA"
x and 380 Harrison Ave,South End,02118,273,172,101,218.0,120.0,98.0,55,52,3.0,Ownership/Rental,Private,,,"380 Harrison Ave, Boston, MA 02118, United States"
x Arbutus (YouthBuild),Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,"27 Centre St, Boston, MA 02119, United States"
x Arbutus Street,Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,"637 Washington St, Boston, MA 02124, United States"
x Arlington St (AOP),Hyde Park,02136,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,"156 Arlington St, Hyde Park, MA 02136, United States"
x Ashland St,Dorchester,02122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Public,,,"43 Freeport St, Boston, MA 02122, United States"
x Astoria Street (Beharry VUP),Mattapan,02126,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"Astoria St, Boston, MA 02126, USA"
x Athens St,South Boston,02127,15,0,15,13.0,0.0,13.0,2,0,2.0,Ownership,Private,,,"2-50 Athens St, Boston, MA 02127, United States"
x B Street,South Boston,02127,3,0,3,2.0,0.0,2.0,1,0,1.0,Ownership,Private,,,"178 W Fourth St, Boston, MA 02127, United States"
x Banton St,Dorchester,02124,18,0,18,16.0,16.0,0.0,2,2,0.0,Rental,Private,,,"637 Washington St, Boston, MA 02124, United States"
x Batchelder St,Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Public,,,"35 Batchelder St, Boston, MA 02119, United States"
x Beach St. Loft Condominium,Leather District,02111,44,0,44,41.0,0.0,41.0,3,0,3.0,Ownership,Private,,,"210 South St, Boston, MA 02111, United States"
x Belgrade Ave,Roslindale,02131,21,21,0,18.0,18.0,0.0,3,3,0.0,Rental,Private,,,"331 Belgrade Ave, Boston, MA 02131, United States"
x Bellevue Street,Dorchester,02125,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Bennington St,East Boston,02128,42,42,0,37.0,37.0,0.0,5,5,0.0,Rental,Private,,,"354-356 Bennington St, East Boston, MA 02128, United States"
x Bennington St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"296 Bennington St #2, Boston, MA 02128, United States"
x Bennington St. EBO 02128-COB,East Boston,02128,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"917 Bennington St, Boston, MA 02128, United States"
x Birch Rd (RDP),West Roxbury,02122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
x Blackinton St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"Blackinton St, Boston, MA 02128, USA"
x Blue Hill Ave,Roxbury,02119,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"1480 Blue Hill Avenue, Boston, MA 02126, United States"
x Blue Hill Ave (REMS buildings),Roxbury,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"1480 Blue Hill Avenue, Boston, MA 02126, United States"
x Boardman,East Boston,02128,19,19,0,17.0,0.0,17.0,2,0,2.0,Ownership,Private,,,"162 Boardman St, East Boston, MA 02128, United States"
x Boardman St,East Boston,02128,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Public,,,"430 William F McClellan Hwy, Boston, MA 02128, United States"
x Bowdoin Ave (AOP),Dorchester,02121,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,,"230 Bowdoin St, Dorchester, MA 02122, United States"
x Bowdoin St,Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Public,,,"230 Bowdoin St, Dorchester, MA 02122, United States"
x Bowdoin St (RDP),Dorchester,02121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"200 Bowdoin St, Dorchester, MA 02122, United States"
x Boylston,Fenway,02215,199,199,0,189.0,189.0,0.0,10,10,0.0,Rental,Private,,,"1330 Boylston St, Boston, MA 02215, United States"
x Boylston Rehab Phase,Downtown,02116,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,,,
x Boylston St,Downtown,02116,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,,"755 Boylston St, Boston, MA 02116, United States"
x Braintree Street,Allston,02134,80,80,0,69.0,69.0,0.0,11,11,0.0,Rental,Private,,,"75 Braintree St, Allston, MA 02134, United States"
x Breed St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"Breed St, Boston, MA 02128, USA"
x Bremen St,East Boston,02128,32,32,0,27.0,27.0,0.0,5,5,0.0,Rental,Private,,,"70 S Bremen St, Boston, MA 02128, United States"
x Bremen St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"70 S Bremen St, Boston, MA 02128, United States"
x Broad Street,Downtown,02110,96,0,96,93.0,0.0,93.0,3,0,3.0,Ownership,Private,,,"89 Broad St, Boston, MA 02110, United States"
x Brooks St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Brooks St, Boston, MA 02128, USA"
x Burbank Street,Fenway,02115,36,36,0,5.0,5.0,0.0,31,31,0.0,Rental,Private,,,"18 Haviland St, Boston, MA 02115, United States"
x Burt St/VOA Sober House,Dorchester,02124,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,"Burt St, Boston, MA 02124, USA"
x Bushnell St,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Cambridge,Allston,02134,44,0,44,38.0,0.0,38.0,6,0,6.0,Ownership,Private,,,"355 Main St, Cambridge, MA 02142, United States"
x Cambridge St,Allston,02134,32,0,32,28.0,0.0,28.0,4,0,4.0,Ownership,Private,,,"334 Cambridge St, Boston, MA 02134, United States"
x Cambridge Street,Allston,02134,40,40,0,35.0,35.0,0.0,5,5,0.0,Rental,Private,,,"334 Cambridge St, Boston, MA 02134, United States"
x Cameron Street,Dorchester,02125,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"43 Freeport St, Boston, MA 02122, United States"
